comment,score,hospital,en
ซื้อแพ็กเกจ ตรวจคัดกรองมะเร็งปากมดลูก ThinPrep ที่ โรงพยาบาลพญาไท 1 เมื่อ 2019-10-16 เวลา 14:00 โอเคหมดเลยทุกอย่างค่ะ เรียบร้อยดี ชอบตรงที่แอดมินเตือนก่อนวันนัดจริงด้วย ดูใส่ใจดี ส่วนทางโรงพยาบาลก็ให้บริการดีค่ะ ปล. อยากให้ทางเว็บมีแพ็คเกจเลเซอร์กำจัดขนให้เลือกมากขึ้นค่ะ อ่อ อีกอย่างค่ะ ชอบแอดมินที่นี้มากเลย ตอบไวดีค่ะ ^^,5,phyathai-1,"Packages ThinPrep cervical cancer screening at Phyathai 1 Hospital on 2019-10-16 14:00 okay okay I like the ants do everything that gave a warning before the shots look real good care. the hospital also offers a good year. I have a web of laser hair removal packages to choose from, the more I like Oh well I gave this a very good reply ^^."
บริการดีมากค่ะ ทั้งการบริการที่สะดวกรวดเร็วจึงทำให้ประทับใจมาก พยาบาลน่ารักเป็นกันเองมากเลย คุณหมอก็ใจดีแนะนำคนที่มารักษาได้ดีมากค่ะ ขอบคุณคุณหมอที่ดูแลได้อย่างดีและทั่วถึง เป็นโรงพยาบาลที่ดีมากเลย ดูแลดี ทุกอย่างแนะนำดีมาก สะดวกรวดเร็วบริการประทับใจ ทุกระดับ หมอ พยาบาล ดีมาก ให้คำแนะนำขั้นตอนการรักษา ค่ารักษา รวมถึงการดูแลสุขภาพ การติดตามผลการรักษา,4,phyathai-1,"Very good service The service friendly, making it very impressive. Nurse cute very friendly. Your doctor is going to recommend that treatment was very good. Thank you, doctors who care for them well and thoroughly. Hospital care is very good, everything is very good advice. Convenient services at all levels, doctors, nurses, a very good step instructions to maintain expenses, including health care. Follow-up treatment"
การให้บริการเยี่ยมมากกก หมอดีมากเพราะใช้ประกันกลุ่มของบริษัทไม่เกินแม่แต่ครั้งเดียวเลยย คุณหมอที่เจอมาน่ารักทุกท่านให้คำแนะนำเรื่องโรคที่เราเป็นอย่างละเอียด,5,phyathai-1,"Very good service Doctor is great because the insurance group's parent company, but once it's up. The doctor met lovely people give advice about the disease we are thorough."
การให้บริการดีเยี่ยม...เจ้าหน้าที่ทุกคนจะให้ความเคารพต่อลูกค้ายิ้มแย้มทุกคน...ไม่ผิดหวังค่ะ,4,phyathai-1,Providing an excellent staff ... everyone will respect the customer smiling people ... do not disappoint me.
คุณแม่เคยเข้ารับการรักษาโดยการส่องกล้องที่กะเพาะอาหารและลำไส้ใหญ่คะ โดยมีอาการคือถ่ายเป็นเลือดสดๆ ซึ่งในการวินิจฉัยโรคเบื้องต้น คุณหมอแจ้งว่าตนวจสอบสาเหตุไม่พบ จึงต้องทำการส่องกล้องเพื่อตรวจสอบอย่างละเอียด รวมทั้งคุณแม่มีการเสียเลือดมาก จึงต้องนอนรพ.เพื่อรับเลือด และเตรียมล้างท้องเพื่อส่องกล้องต่อไป ในตอนแรกคิดว่าคงต้องใข้เวลา 3-4 วัน ในการที่จะให้เลือดเพื่อให้ร่างกายแข็งแรง ไม่อ่อนเพลียก่อน แล้วจึงสามารถล้างท้องเพื่อส่องกล้องได้ ซึ่งคุณแม่เป็นคนที่สุขภาพดีมาก ไม่มีโรคประจำตัว และไม่เคยต้องเข้ารพ.มาก่อน พอทราบว่าต้องนอนรพ. ก็เครียดและกังวล แต่คุณหมอและพยาบาลทุกคนน่ารักมากค่ะ พอทราบอย่างนั้นก็พูดให้กำลังใจ เพื่อให้ผ่อนคลาย เข้ามาดูอาการเป็นระยะๆ รวมทั้งแวะเข้ามาพูดคุยตลอดเวลา ทำให้ไม่เพียงแต่คนไข้หายเครียด แต่รวมทั้งญาติๆก็รู้สึกวางใจในการบริการของที่นี่ค่ะ แม้แต่พนักงานดูแลความสะอาดก็เช่นกันค่ะ มีการเข้ามาทำความสะอาดห้องน้ำเป็นระยะๆ โดยตอนที่คุณแม่ต้องล้างท้องเตรียมส่องกล้อง จำเป็นต้องใช้เวลาในห้องน้ำนานๆ พนักงานก็ยังเข้ามาช่วยดูแลทำความสะอาดให้ตลอดค่ะ และเมื่อรักษาอาการเรียบร้อย คณหมอก็มีนัดให้มา follow อาการ ซึ่งทางเจ้าหน้าที่และพยาบาลก็เอาใจใส่ดูแลเป็นอย่างดี มีการโทรมาแจ้งเตือน และเมื่อไม่ได้รับสายก็ส่ง sms มาแทน ประทับใจในการดูแลของคุณหมอ พยาบาล และการบริการของเจ้าหน้าที่ทุกท่านค่ะ,5,phyathai-1,"Have you ever been treated by endoscopic and colorectal culture shift here. The symptoms are bloody diarrhea live. The preliminary diagnosis The doctor stated that his audit did not find the cause. You need to carefully examine the endoscopist. The mother has lost a lot of blood. I need a hospital to get blood. Laparoscopic gastric lavage and prepare for the next. At first thought it need 3-4 days to gain time to give blood to keep the body healthy. No prior exhaustion Laparoscopic gastric lavage can then order it. The mother was very healthy. no illness And never have to attend hospital before. I know they need a hospital. Stressed and worried But doctors and nurses are all very cute. I know it pep talk. To relax Symptoms to look periodically. Including a visit to talk all the time. Not only patients with stress. But the relatives also feel trust in their services here. Even the cleaning staff to take care of it as well. The bathroom was cleaned periodically. By the time you have to prepare Laparoscopic gastric lavage. Need to take a long time in the bathroom. The staff also helped care for me forever. When treatment is complete As a doctor, I have to follow the signs to the nursing staff was attentive and well-groomed. A call notification And when it did not receive calls, send sms to impress in the care of doctors, nursing staff and the service of all."
รพ นี้ พยาบาลพูดจาดี และบริการดีมาก ประทับใจ,4,phyathai-1,Hospital nurses flattering And a very good impression
พยาบาลดูแลดีมาก แนะนำหลายอย่าง บริการดีพาไปส่งห้องหมอ หมอก็ดูแลดีแนะนำหลายอย่างรู้สึกว่าเอาใจใส่ดีเลยแล้วก็ไม่เร่งรีบในการรักษา อธิบายอาการที่เราเป็นจนเข้าใจ,4,phyathai-1,Excellent Nursing Care Several recommendations Service to send a doctor. Great care doctors suggest that there are many good and did not rush for treatment. Explain who we are and understanding.
เป็น รพ.ที่น่าประทับใจ บริการรวดเร็ว,5,phyathai-1,The hospital is impressive fast service
นับตั้งแต่ก้าวเข้ามาที่รพ.นี้ ปกติแล้วแฟนจะเป็นคนพามาหาหมอทุกครั้ง เนื่องจากแฟนเป็นคนชอบแต่งรถมากๆ รถของเขาจึงมีลักษณะโหลดเตี้ยกว่ารถปกติ ทำให้ขึ้นอาคารจอดรถไม่ได้ ต้องจอดชั้นล่างแถว s&p มาตลอดทั้งที่เป็นจอดรถเฉพาะหลังคาสูง เมื่อมาบ่อยขึ้นเนื่องจากแพทย์นัด ทางรพ.ได้จัดเตรียมที่จอดใหม่สำหรับรถโหลดต่ำ ซึ่งประทับใจทั้งแฟนและดิฉันเป็นอย่างมาก ขั้นตอนถัดไป บุรุษพยาบาลจะคอยเปิดประตูให้ สอบถามทุกครั้งต้องการรถเข็นหรือไม่ และมีบริการเข็นไปส่งตามแผนกต่างๆจนพบแพทย์เสร็จ จ่ายเงิน กลับบ้าน และบริการดี สุภาพค่ะ ปกติแล้วจะไปรักษาที่แผนกโรคระบบทางเดินอาหาร ชั้น 3 อาคาร 1 พยาบาลบริการดี พูดจาไพเราะตลอด มีการจัดเรียงคิว คนไข้ต่างชาติเยอะจะค่อนข้างวุ่นวายแถมมารยาทไม่ค่อยมี หักตรงนี้ค่ะ หากแยกส่วนได้ก็จะดี ก่อนจะถึงวันนัด พยาบาลจะโทรมาเตือนทุกครั้งและถามว่าสะดวกหรือเปล่าเผื่อเรามีนัด ส่วนการให้บริการของแพทย์ สามารถซักถามข้อสงสัยได้หมดโดยไม่เร่งรีบ ให้ความรู้ความเข้าใจอย่างละเอียด แนะนำวิธีการรักษาที่ดีที่สุด วิธีดูแลตนเองของผู้ป่วยได้อย่างดี กรณีที่เคยแอดมิด พยาบาลดูแลดีมากทุกคน เช็ดตัวให้โดยไม่รังเกียจหรือมีท่าทีไม่ดี แม่บ้านดีมาก มาทำความสะอาดให้ทุกวัน สามารถแจ้งได้หากของอะไรขาดหรืออยากได้เพิ่ม มีของขวัญเยี่ยมไข้มาให้เกือบทุกวันจากหัวหน้าส่วนแม่บ้าน ราคาค่ารักษาพยาบาลอาจตะแพงไป แต่บริการได้ดีค่ะ,4,phyathai-1,"Since stepping into the hospital this. Usually the fans are the ones who brought them to the doctor every time. Because it was like the car a lot. His car is loaded, it looks shorter than a regular car. Make-up garage is not. To park downstairs in the s & p through a dedicated parking, high roof. When it comes more often because doctors appointment. The hospital also provides parking for car load. Which impressed both the fans and I'm very much looking forward to the next step, a nurse opened the door. For every need a wheelchair or not. And provides access to the various departments as well as the doctor finished home pay and good service, it is usually polite to treat gastrointestinal diseases department at the 3rd Floor, 1 ambulance service. The eloquence A sort queue Foreign patients it can be quite busy but rarely etiquette deducting If this is modular, it's great. Prior to that date A nurse will call to alert all the time and ask if it is convenient for us to date. The services of doctors You can ask questions out without haste. A thorough understanding The preferred method of treatment is best. How to care for their patients as well. If ever Atwood Mid Medical care is very good, everyone By wiping the mind or attitude is not good, very good housekeeper came to clean every day. You can tell if something's broken or you just added. A patient presents to almost every part of the head housekeeper. The price of medical expenses could cost the Japanese. But the service was good"
เข้า รพ. ไปผ่าตัดคลอด 24/12/59 แพทย์ พญาบาลให้การบริการดีมาก คอยช่วยเหลือทุกอย่าง ตอบทุกคำถามที่สงสัย ดีมากเลยคะ,5,phyathai-1,The hospital doctors 24/12/59 to cesarean Paya governance provides a very good service. Assist all He answered all the questions very good.
